2016-01-25 11:17:08.058 1453720628058 Acceleration x: -0.02935791015625 g, y: -0.09173583984375 g, z: 0.9627685546875 g Gyro x: 3.162689208984375 g, y: 6.901092529296875 g, z: -1.375732421875 g Magnet x: 0.0289306640625 G, y: 0.3641357421875 G, z: -0.2884521484375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:08.074 1453720628075 Acceleration x: -0.0281982421875 g, y: -0.09014892578125 g, z: 0.964599609375 g Gyro x: 3.1103515625 g, y: 6.8487548828125 g, z: -1.443023681640625 g Magnet x: 0.0289306640625 G, y: 0.3641357421875 G, z: -0.2884521484375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:08.091 1453720628091 Acceleration x: -0.02734375 g, y: -0.09033203125 g, z: 0.966064453125 g Gyro x: 3.3795166015625 g, y: 6.998291015625 g, z: -1.39068603515625 g Magnet x: 0.0289306640625 G, y: 0.3641357421875 G, z: -0.2884521484375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:08.112 1453720628112 Acceleration x: -0.02789306640625 g, y: -0.09130859375 g, z: 0.9659423828125 g Gyro x: 3.36456298828125 g, y: 6.998291015625 g, z: -1.413116455078125 g Magnet x: 0.0289306640625 G, y: 0.3641357421875 G, z: -0.2884521484375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:08.126 1453720628126 Acceleration x: -0.02740478515625 g, y: -0.09063720703125 g, z: 0.96563720703125 g Gyro x: 3.207550048828125 g, y: 6.811370849609375 g, z: -1.36077880859375 g Magnet x: 0.0289306640625 G, y: 0.3641357421875 G, z: -0.2884521484375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:08.141 1453720628141 Acceleration x: -0.0283203125 g, y: -0.09075927734375 g, z: 0.96453857421875 g Gyro x: 3.446807861328125 g, y: 7.020721435546875 g, z: -1.42059326171875 g Magnet x: 0.0347900390625 G, y: 0.3607177734375 G, z: -0.2821044921875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:08.156 1453720628156 Acceleration x: -0.02972412109375 g, y: -0.0911865234375 g, z: 0.9652099609375 g Gyro x: 3.312225341796875 g, y: 6.916046142578125 g, z: -1.383209228515625 g Magnet x: 0.0347900390625 G, y: 0.3607177734375 G, z: -0.2821044921875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:08.181 1453720628182 Acceleration x: -0.02783203125 g, y: -0.09051513671875 g, z: 0.96575927734375 g Gyro x: 3.2000732421875 g, y: 6.74407958984375 g, z: -1.368255615234375 g Magnet x: 0.0347900390625 G, y: 0.3607177734375 G, z: -0.2821044921875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:08.195 1453720628195 Acceleration x: -0.02740478515625 g, y: -0.0902099609375 g, z: 0.9649658203125 g Gyro x: 3.282318115234375 g, y: 6.901092529296875 g, z: -1.42059326171875 g Magnet x: 0.0347900390625 G, y: 0.3607177734375 G, z: -0.2821044921875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:08.210 1453720628210 Acceleration x: -0.0277099609375 g, y: -0.08990478515625 g, z: 0.96527099609375 g Gyro x: 3.147735595703125 g, y: 6.841278076171875 g, z: -1.353302001953125 g Magnet x: 0.0347900390625 G, y: 0.3607177734375 G, z: -0.2821044921875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:08.224 1453720628224 Acceleration x: -0.02752685546875 g, y: -0.091552734375 g, z: 0.9666748046875 g Gyro x: 3.357086181640625 g, y: 6.89361572265625 g, z: -1.4654541015625 g Magnet x: 0.0347900390625 G, y: 0.3607177734375 G, z: -0.2821044921875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
